GE,6.57,-.21,"129,404,442"
NLY,6.16,-.18,"125,371,254"
ADAP,11.07,+6.21,"113,528,936"
MRO,5.34,-.36,"107,575,361"
F,5.71,-.14,"93,039,226"
NERV,3.71,-9.76,"82,286,789"
NCLH,15.66,-.41,"77,548,609"
PRTY,1.29,+.27,"65,296,771"
SIRI,5.82,+.14,"62,455,309"
OXY,12.95,-.69,"61,378,450"
ZNGA,9.15,+1.08,"60,893,526"
COTY,3.63,-.56,"60,534,395"
ABEV,2.31,-.07,"60,412,045"
AAL,10.50,-.48,"59,054,713"
PHIO,3.05,+.81,"58,684,046"
M,6.36,-.47,"52,869,109"
TME,12.92,+.69,"50,534,938"
CCL,15.74,-.19,"50,358,472"
APA,10.79,-1.08,"47,936,768"
MARK,2.64,-.33,"44,437,745"
DVN,10.81,-.85,"43,105,622"
NBL,8.73,-.78,"41,419,593"
AGNC,12.94,-.15,"41,192,704"
HTZ,1.00,-.02,"40,261,003"
KIM,11.11,-.60,"38,668,615"
PTEN,3.69,-.59,"38,517,817"
AUY,5.36,+.24,"37,986,569"
ITUB,4.25,-.08,"37,532,898"
DHC,3.58,-.36,"37,220,819"
FTI,7.40,-.28,"35,614,005"
SNOA,9.70,+4.29,"34,597,168"
FLEX,9.71,-.22,"32,378,550"
DXC,14.21,-2.36,"29,835,425"
HPQ,15.14,+.13,"29,051,141"
GNUS,2.05,+.24,"27,603,960"
DVAX,6.12,+1.28,"26,848,120"
GPS,8.90,-.69,"26,845,947"
AVTR,18.97,+.64,"26,827,875"
HTBX,1.0200,-.09,"26,558,473"
MNLO,2.39,-.12,"26,351,275"
CGC,17.37,-4.35,"25,314,081"
JWN,16.13,-1.99,"25,117,527"
HBI,9.86,-.35,"24,388,343"
MGM,17.18,-.05,"24,242,889"
HPE,9.71,+.12,"23,840,832"
SAVE,12.95,+.02,"23,683,315"
NBRV,1.14,+.2887,"23,105,137"
NAK,1.30,+.15,"22,275,488"
XSPA,.8300,-.008,"21,398,917"
KSS,19.22,-.90,"21,263,835"
XRX,15.88,-.93,"20,755,308"
SABR,6.97,-.41,"20,236,265"
FG,8.34,+.58,"19,401,081"
INO,14.75,+1.40,"19,359,600"
TBLT,.8711,-.2289,"19,085,664"
TPR,13.60,-.39,"18,881,910"
HST,11.94,-.09,"17,952,656"
JEF,14.65,-.27,"17,275,194"
TRGP,17.89,-.43,"16,923,390"
UA,7.86,-.26,"16,378,230"
AGEN,3.73,+.85,"16,321,869"
BTG,5.48,+.32,"16,012,930"
ERJ,5.49,+.31,"15,968,665"
KTB,14.62,-.39,"15,833,403"
UAA,8.75,-.30,"15,491,987"
APY,9.07,+.16,"15,384,334"
SRNE,5.05,+.10,"15,065,435"
MFA,1.69,-.08,"14,878,003"
OVV,7.69,-.55,"14,728,371"
GGAL,8.01,-.82,"14,391,807"
UNM,15.15,-.77,"13,932,835"
MBT,8.89,-.07,"13,799,604"
JBLU,10.07,-.10,"13,444,812"
CNP,17.78,-.24,"12,805,887"
CPRI,15.04,-1.33,"12,722,440"
QEP,.8536,-.0724,"12,639,024"
CLR,12.23,-.97,"12,402,875"
HEXO,.6329,-.0476,"12,014,110"
IVZ,7.97,-.16,"11,971,691"
LTM,1.12,+.02,"11,950,223"
PBR/A,7.54,+.20,"11,553,404"
NYMT,2.08,-.13,"11,292,798"
TIVO,6.09,-.32,"11,056,184"
ALLY,17.44,-.93,"11,025,352"
VBIV,2.18,+.20,"10,997,165"
TLRY,9.85,-.54,"10,950,210"
AIM,2.80,+.30,"10,815,684"
FITB,19.39,-.74,"10,798,922"
ADMA,3.29,+.43,"10,762,020"
ACB,14.08,-1.26,"10,725,557"
SPCE,17.04,+.57,"10,655,909"
IVR,2.77,-.06,"10,406,265"
SAN,2.27,-.08,"10,397,660"
GMBL,8.85,+3.43,"10,332,598"
AGE,1.13,+.375,"10,028,047"
OGI,1.74,-.13,"9,983,518"
VIPS,17.34,+1.57,"9,628,886"
CIDM,.85,-.0194,"9,287,122"
BCRX,4.495,0,"8,828,822"
ING,6.38,-.16,"8,729,247"
MAC,6.81,-.43,"8,726,203"
PK,9.83,-.43,"8,672,302"
BGCP,2.575,-.095,"8,507,456"
TGI,7.49,-1.62,"8,213,135"
MTG,8.21,-.30,"8,057,598"
TWO,4.52,-.25,"8,055,451"
AA,9.21,-.27,"7,942,378"
DGLY,1.1200,+.2801,"7,672,931"
IPG,17.11,-.075,"7,658,024"
TNXP,.6500,-.0263,"7,574,885"
FMCI,12.91,+1.47,"7,510,252"
RMED,.516,+.0225,"7,243,818"
APHA,4.23,-.08,"7,146,192"
AEO,9.16,-.38,"6,932,761"
MLND,2.66,+.68,"6,898,146"
BMA,17.16,-2.32,"6,714,273"
MT,9.62,-.23,"6,572,949"
MOMO,19.40,-.55,"6,516,192"
CLNY,2.01,-.11,"6,510,041"
KDMN,4.44,-.02,"6,508,676"
TRIL,6.78,+1.01,"6,384,633"
GERN,1.61,0,"6,030,377"
HX,1.13,-.17,"5,982,941"
VSTM,1.86,+.10,"5,962,426"
COMM,10.31,-.11,"5,961,955"
CSTM,8.21,-.35,"5,951,855"
ARPO,1.12,-.01,"5,893,754"
PLAY,13.19,-.44,"5,873,649"
NG,9.56,-.15,"5,735,822"
ABIO,12.60,-6.61,"5,494,289"
PTLA,17.95,+.10,"5,437,981"
BCS,5.66,-.24,"5,400,257"
ESRT,6.63,-.49,"5,325,167"
HLX,3.36,-.05,"5,317,539"
MEIP,3.655,+.355,"5,283,641"
APLE,10.21,-.18,"5,283,387"
BLMN,11.41,+.01,"5,282,570"
LXP,9.72,+.12,"5,230,638"
CHCI,2.32,+.32,"5,230,540"
AMC,5.13,+.06,"5,158,931"
CIM,8.31,-.20,"5,123,096"
NNDM,2.59,-.08,"5,106,099"
STWD,13.26,-.65,"5,081,467"
CIG,1.99,0,"4,875,532"
CGEN,15.39,+3.01,"4,842,796"
MITT,2.46,-.22,"4,761,765"
LXU,1.08,-.28,"4,677,812"
BORR,.6195,-.0754,"4,609,506"
MFGP,4.90,-.65,"4,606,458"
AEG,2.67,-.11,"4,564,129"
INPX,1.31,-.06,"4,561,700"
USFD,19.14,-.26,"4,542,406"
HTGM,.5299,-.0476,"4,468,047"
CS,9.06,-.25,"4,416,404"
ATHX,2.91,+.13,"4,339,325"
RWT,5.35,-.05,"4,311,809"
MFC,12.41,-.16,"4,303,893"
ALT,9.28,+1.10,"4,298,398"
DRH,5.99,+.02,"4,230,456"
FRO,9.13,+.04,"4,179,246"
ENBL,4.16,-.08,"4,160,371"
MRNS,2.54,-.26,"4,138,061"
DFFN,1.30,+.01,"4,133,641"
XPER,13.75,-.35,"4,099,067"
TTOO,.8393,+.0094,"4,096,016"
ENIA,7.42,+.14,"4,090,228"
PBF,10.62,-.29,"4,078,336"
RRR,13.80,-.41,"3,975,250"
INSG,10.62,+.53,"3,876,523"
CNK,15.03,-.27,"3,872,647"
GNC,.7544,+.0244,"3,811,672"
SVC,6.75,-.29,"3,809,078"
IRWD,9.73,-.025,"3,734,029"
TU,17.36,+.18,"3,683,385"
MGEN,.9870,-.163,"3,678,390"
MUFG,4.17,-.10,"3,668,683"
EVRI,6.21,+.07,"3,607,253"
PEIX,.6670,+.1795,"3,599,679"
DOC,17.27,-.17,"3,569,949"
BKD,3.66,+.12,"3,563,791"
SMLP,1.31,+.24,"3,512,444"
MGNX,19.24,-3.76,"3,509,978"
SBS,10.03,+.36,"3,503,340"
TELL,.9999,-.0101,"3,480,124"
AHT,.69,-.14,"3,438,683"
MIK,3.86,+.275,"3,425,005"
SITC,5.67,-.29,"3,421,861"
AVEO,8.16,-1.05,"3,380,498"
ANF,11.62,+.02,"3,373,884"
CDR,.7445,-.0455,"3,332,356"
DLPH,12.88,+.05,"3,290,940"
DRRX,2.34,-.04,"3,289,140"
VRT,12.73,+.18,"3,242,438"
PMT,11.01,-.79,"3,232,154"
AZUL,7.98,-.18,"3,030,484"
LLNW,4.94,-.13,"3,027,710"
VIV,8.77,+.024834,"3,012,385"
WMC,1.98,-.16,"2,972,567"
GTCH,.0305,+.0004,"2,964,025"
ANH,1.46,-.07,"2,905,405"
UAVS,1.19,-.01,"2,903,132"
ALRN,1.6200,+.30,"2,889,763"
TORC,2.17,-.04,"2,818,016"
NAKD,.6250,-.054,"2,809,699"
RUBI,6.27,+.04,"2,800,918"
RBS,2.78,-.16,"2,775,177"
SVM,4.42,+.23,"2,775,065"
UNVR,15.46,-.01,"2,769,065"
HOME,4.74,+.09,"2,743,900"
BLRX,1.94,+.21,"2,716,359"
LADR,7.95,-.26,"2,707,536"
MGI,2.44,+.17,"2,698,320"
SWCH,19.11,+.25,"2,697,444"
RDN,15.88,-.07,"2,681,565"
IZEA,.6098,-.0202,"2,608,968"
AVID,7.06,+.70,"2,608,497"
OUT,14.04,-.43,"2,607,772"
ARGGY,.6860,-.064,"2,585,548"
PEB,13.66,-.43,"2,563,931"
FNMAT,8.15,+.31,"2,537,629"
NR,2.02,-.13,"2,532,558"
MFAC/WS,.68,+.24,"2,531,588"
SSL,5.14,+.05,"2,510,067"
TCON,2.30,+.21,"2,489,079"
LL,9.94,-.09,"2,481,693"
OIS,4.24,-.15,"2,481,280"
RNWK,1.85,-.11,"2,480,932"
OCN,.7392,-.0625,"2,479,431"
RIOT,2.14,-.07,"2,461,524"
ETM,1.67,-.12,"2,459,822"
NGL,5.10,-.08,"2,451,769"
EC,10.41,-.13,"2,431,765"
LRENY,7.30,-.03,"2,425,652"
NCMI,2.75,-.05,"2,421,755"
BSBR,4.70,-.03,"2,390,668"
TUP,3.23,-.11,"2,379,129"
CIT,18.14,-1.08,"2,346,576"
TROX,6.64,-.46,"2,328,458"
NMRK,4.25,-.35,"2,260,584"
AROC,6.35,+.11,"2,250,559"
BPY,10.36,-.26,"2,211,624"
GNMK,9.49,-.14,"2,202,609"
HMHC,1.53,-.10,"2,200,288"
TRVN,1.30,-.02,"2,199,534"
RPAI,5.42,-.36,"2,178,178"
RUTH,8.11,-.65,"2,172,199"
CVA,9.00,-.30,"2,158,369"
ATRA,11.50,+.26,"2,152,265"
SSRM,19.23,+.34,"2,122,807"
LTRPA,2.375,-.475,"2,118,818"
SOLO,1.14,+.01,"2,108,951"
CRBP,7.46,-.02,"2,097,503"
BGG,1.64,-.13,"2,093,228"
TTM,5.71,-.04,"2,091,259"
SEAS,18.06,-.63,"2,085,973"
ASX,4.08,+.05,"2,059,223"
CLSN,3.00,+.05,"2,055,119"
WRTC,6.45,+1.39,"2,053,467"
XAN,2.00,-.19,"2,040,490"
PTN,.5069,-.0145,"2,013,066"
CUK,13.53,-.47,"2,011,765"
ARR,7.83,-.34,"2,001,718"
EOLS,4.57,-.73,"2,000,780"
CENX,5.96,+.065,"1,992,270"
VFF,5.44,-.24,"1,963,768"
ROIC,9.39,-.45,"1,939,849"
CYDY,2.96,+.14,"1,921,013"
ALDX,4.92,+.20,"1,918,887"
LILAK,9.60,-.11,"1,890,589"
PHAS,6.01,-.01,"1,885,779"
MARA,.7000,-.0332,"1,880,596"
SNR,2.90,-.08,"1,870,646"
CWK,10.25,-.29,"1,869,997"
CRK,5.36,+.13,"1,839,468"
PHUN,1.29,-.05,"1,828,565"
BAYRY,17.0999,-.1301,"1,821,874"
GES,9.57,-.50,"1,810,316"
ONDK,.7479,-.1132,"1,806,622"
SLGG,3.30,+.60,"1,804,699"
EVFM,5.46,-.07,"1,794,373"
MDP,14.94,-1.42,"1,792,926"
LCTX,.8817,-.0434,"1,783,194"
QFIN,10.05,+.45,"1,776,102"
RYCEY,3.48,-.47,"1,772,168"
AESE,2.45,+.62,"1,771,271"
ALJJ,.6500,+.1123,"1,757,685"
INN,6.25,-.06,"1,755,042"
OXLC,3.40,+.35,"1,716,479"
ASRT,.9866,+.0308,"1,711,111"
GEO,11.98,-.40,"1,706,759"
DS,1.78,-.03,"1,686,862"
CERS,6.22,+.14,"1,676,396"
CEQP,14.21,+.32,"1,655,565"
CAL,7.17,-.51,"1,629,922"
SGMS,15.73,-.09,"1,619,821"
MOD,5.35,+.27,"1,613,812"
TRPX,.5000,-.03,"1,607,675"
CLBS,1.90,+.12,"1,607,294"
LPG,8.22,+.30,"1,607,157"
GIII,10.33,-.85,"1,604,023"
THM,1.1300,+.04,"1,589,772"
GPMT,4.92,-.19,"1,577,660"
FRSX,.8399,-.0401,"1,572,688"
SNCA,.92,-.035,"1,571,097"
VHC,6.65,+.20,"1,563,471"
EQX,9.22,+.17,"1,551,992"
CHAP,.4986,+.0086,"1,547,953"
CALA,5.82,+.01,"1,547,823"
EURN,10.12,-.02,"1,543,360"
ELY,15.32,+.08,"1,541,288"
PVAC,8.78,-.19,"1,534,921"
MAXR,15.07,+.29,"1,532,260"
OGZPY,5.65,+.175,"1,522,854"
FHB,17.25,-.17,"1,511,495"
CJJD,2.57,+.05,"1,499,205"
ZEST,2.70,+.43,"1,497,672"
TRTX,7.41,-.10,"1,494,213"
OTLK,1.0200,+.01,"1,484,691"
GEN,.8621,-.0879,"1,479,888"
LPCN,.9136,-.0114,"1,473,080"
CALX,14.10,-.15,"1,466,505"
SFET,1.30,-.05,"1,456,885"
LFC,9.47,+.12,"1,450,084"
EMAN,.5254,-.0112,"1,439,945"
DHY,1.97,+.02,"1,425,224"
STKL,4.69,+.50,"1,416,838"
SMHI,1.55,+.03,"1,416,006"
TOUR,.9989,-.1011,"1,414,016"
DHF,2.60,+.04,"1,410,112"
ASM,.6900,+.056,"1,399,080"
DENN,10.845,-.425,"1,397,424"
SEM,16.14,-.26,"1,393,730"
OEC,11.06,-.27,"1,385,978"
TAST,4.29,+.01,"1,372,261"
ZSAN,.9800,-.02,"1,363,434"
AVAL,4.39,0,"1,356,774"
CLI,15.21,-.47,"1,352,335"
STNG,17.74,-.26,"1,349,717"
CHEK,.5260,-.0067,"1,326,351"
VIVO,15.46,+1.28,"1,324,284"
SGBX,2.53,-.09,"1,315,960"
SURF,5.11,+.22,"1,299,118"
CSIQ,18.80,+.66,"1,292,127"
SCYX,.7542,-.0185,"1,290,220"
BHR,3.40,-.25,"1,278,713"
CLUB,.83,-.17,"1,277,559"
CVSI,.8850,+.00495,"1,273,371"
AFMD,3.29,+.17,"1,270,535"
SONM,.83,+.0049,"1,269,198"
CHEF,14.80,-.20,"1,262,713"
SGSVF,1.41,+.10,"1,259,656"
APTS,6.99,-.44,"1,259,581"
HT,5.04,-.32,"1,254,632"
ARCO,3.88,+.06,"1,254,540"
BKE,14.08,-.64,"1,229,719"
CRLBF,4.92,+.0375,"1,227,997"
ZYNE,5.26,-.13,"1,224,899"
VNOM,10.49,-.16,"1,221,505"
HA,14.43,-.42,"1,220,600"
SPWH,11.17,+.46,"1,214,999"
NK,6.74,+.13,"1,212,484"
CXP,12.73,-.42,"1,211,546"
PDSB,1.31,+.06,"1,207,513"
OBSV,3.74,-.19,"1,206,083"
KLXE,1.48,-.155,"1,205,673"
PLT,13.03,+.50,"1,196,091"
VRML,3.2700,+.02,"1,193,613"
JELD,13.63,-.91,"1,191,247"
SILV,8.93,+.81,"1,189,633"
EIGI,3.58,+.17,"1,186,381"
GENE,2.04,0,"1,178,863"
YI,7.40,-.16,"1,175,472"
BOMN,16.32,-.09,"1,171,892"
PDM,16.68,-.57,"1,165,572"
INVE,4.18,+.09,"1,165,189"
PAVM,1.99,+.01,"1,159,108"
KSHB,1.1850,-.015,"1,154,765"
OSUR,14.54,+1.03,"1,143,620"
CLSK,2.01,-.09,"1,143,299"
ASNA,1.67,-.28,"1,133,581"
ELYGF,1.1700,+.12,"1,133,453"
FLXN,11.43,-.22,"1,133,152"
WPRT,1.31,-.07,"1,128,887"
TMBR,2.70,-.18,"1,127,728"
PRTS,6.97,+.51,"1,119,705"
CERC,3.23,+.305,"1,098,181"
WNC,9.55,-.34,"1,090,934"
NIU,10.65,-.08,"1,089,813"
LJPC,4.72,+.06,"1,085,997"
CNTY,5.47,+.33,"1,083,646"
TGEN,.6600,-.20,"1,066,252"
SGLB,2.59,+.09,"1,044,858"
SRG,7.87,-.74,"1,044,791"
ZIXI,6.72,+.24,"1,044,703"
CEMI,9.63,+.66,"1,026,277"
IMAX,12.61,+.43,"1,022,413"
PPERY,6.00,+.335,"1,022,239"
YCBD,1.47,-.06,"1,020,283"
NNBR,4.47,+.33,"1,019,613"
ONCY,2.44,-.04,"1,014,048"
ELP,11.91,+.14,"1,013,858"
CIK,2.66,+.03,"1,009,273"
GRNQ,1.45,-.22,"1,000,011"
PRMW,12.03,+.29,"998,986"
NVUS,1.27,-.04,"997,205"
MAG,12.47,+.63,"996,037"
RQI,10.74,-.02,"989,611"
VNET,14.60,+.47,"987,882"
ONVO,.6315,-.0372,"987,814"
DTIL,7.01,-.05,"979,988"
CCRN,6.07,-.20,"971,632"
MESA,3.25,-.16,"971,479"
FAX,3.68,+.04,"963,253"
PBFX,10.40,+.15,"961,544"
VECO,11.74,+.37,"956,443"
MEOH,16.11,-.92,"949,660"
OVID,5.35,+.095,"941,471"
GOSS,12.15,+.05,"939,816"
ARYA,13.40,+2.40,"934,229"
XHR,9.00,-.34,"933,051"
USAS,2.48,+.03,"929,551"
RESI,7.50,-.09,"928,780"
NMIH,15.365,-.125,"928,612"
CHK,13.01,-.30,"925,723"
VSTO,9.71,+.42,"918,129"
MCF,2.75,+.12,"917,807"
LC,5.35,-.43,"914,442"
MMMM,.5499,-.0201,"913,789"
PLYA,2.61,-.06,"913,475"
MNRL,13.25,+.04,"913,096"
ENLAY,7.66,+.23,"912,562"
SNDX,16.20,+.15,"904,765"
ZYXI,19.40,+.47,"899,077"
SEEL,1.2300,-.03,"897,266"
MTEM,15.52,+.09,"895,909"
KALA,12.31,+.06,"894,980"
ACRGF,3.30,-.64,"891,188"
IHRT,8.70,+.575,"878,530"
NBLX,9.67,+.05,"878,322"
TRIB,1.26,-.01,"868,997"
